OrderID,CustomerNum,CoffeeID,OrderDate,OrderAmountKg
20180001,133,19,1/2/2018,3
20180002,652,26,1/2/2018,2.5
20180003,650,1,1/3/2018,2
20180004,135,25,1/3/2018,0.5
20180005,779,6,1/4/2018,9.5
20180006,129,33,1/5/2018,9
20180007,515,18,1/5/2018,2
20180008,652,10,1/6/2018,7
20180009,625,22,1/6/2018,3.5
20180010,783,26,1/7/2018,7.5
20180011,650,18,1/8/2018,7
20180012,800,20,1/8/2018,0.5
20180013,515,36,1/9/2018,5
20180014,624,7,1/9/2018,0.5
20180015,652,14,1/10/2018,3
20180016,800,41,1/11/2018,0.5
20180017,726,38,1/11/2018,2.5
20180018,136,1,1/12/2018,8
20180019,107,39,1/12/2018,5
20180020,515,18,1/13/2018,1
20180021,129,34,1/14/2018,9
20180022,779,41,1/14/2018,9
20180023,515,2,1/15/2018,7.5
20180024,635,31,1/15/2018,1
20180025,620,16,1/16/2018,6
20180026,646,38,1/17/2018,8
20180027,122,7,1/17/2018,4
20180028,515,7,1/18/2018,1.5
20180029,625,4,1/18/2018,8.5
20180030,620,4,1/19/2018,5.5
20180031,625,23,1/20/2018,5
20180032,620,7,1/20/2018,8.5
20180033,741,15,1/21/2018,0.5
20180034,726,2,1/21/2018,0.5
20180035,783,39,1/22/2018,7.5
20180036,741,3,1/23/2018,6
20180037,165,14,1/23/2018,9.5
20180038,107,25,1/24/2018,0.5
20180039,135,27,1/24/2018,2
20180040,750,6,1/25/2018,10
20180041,742,23,1/26/2018,5
20180042,650,11,1/26/2018,0.5
20180043,620,13,1/27/2018,9
20180044,515,30,1/27/2018,5.5
20180045,741,30,1/28/2018,3.5
20180046,515,20,1/29/2018,3
20180047,515,1,1/29/2018,0.5
20180048,646,32,1/30/2018,8
20180049,646,7,1/30/2018,1
20180050,741,31,1/31/2018,3.5
20180051,650,4,2/1/2018,2.5
20180052,620,33,2/1/2018,0.5
20180053,625,4,2/2/2018,10
20180054,627,9,2/2/2018,0.5
20180055,107,33,2/3/2018,0.5
20180056,515,34,2/4/2018,3.5
20180057,627,35,2/4/2018,5.5
20180058,625,38,2/5/2018,2
20180059,136,12,2/5/2018,4
20180060,128,8,2/6/2018,8.5
20180061,165,17,2/7/2018,8
20180062,741,11,2/7/2018,5.5
20180063,726,34,2/8/2018,5.5
20180064,742,35,2/8/2018,8.5
20180065,597,11,2/9/2018,4
20180066,741,10,2/10/2018,9.5
20180067,627,23,2/10/2018,0.5
20180068,136,37,2/11/2018,2.5
20180069,625,24,2/11/2018,4.5
20180070,597,6,2/12/2018,2.5
20180071,800,19,2/13/2018,9.5
20180072,646,29,2/13/2018,7
20180073,783,40,2/14/2018,6.5
20180074,165,6,2/14/2018,7.5
20180075,202,41,2/15/2018,10
20180076,741,41,2/16/2018,6.5
20180077,624,3,2/16/2018,3
20180078,779,2,2/17/2018,8
20180079,620,11,2/17/2018,1.5
20180080,687,36,2/18/2018,5
20180081,742,21,2/19/2018,6
20180082,783,1,2/19/2018,4
20180083,515,22,2/20/2018,7
20180084,515,40,2/20/2018,4.5
20180085,627,28,2/21/2018,3.5
20180086,635,31,2/22/2018,4
20180087,687,31,2/22/2018,3.5
20180088,652,36,2/23/2018,6
20180089,742,14,2/23/2018,6.5
20180090,129,30,2/24/2018,5
20180091,620,21,2/25/2018,7.5
20180092,515,2,2/25/2018,0.5
20180093,742,3,2/26/2018,10
20180094,515,35,2/26/2018,8
20180095,646,22,2/27/2018,8.5
20180096,726,24,2/28/2018,2
20180097,620,4,2/28/2018,1
20180098,741,8,3/1/2018,10
20180099,620,17,3/1/2018,7.5
20180100,515,16,3/2/2018,10
20180101,104,15,3/3/2018,0.5
20180102,107,14,3/3/2018,5
20180103,741,25,3/4/2018,6.5
20180104,133,33,3/4/2018,1
20180105,625,29,3/5/2018,9
20180106,322,39,3/6/2018,0.5
20180107,627,28,3/6/2018,5.5
20180108,742,23,3/7/2018,8
20180109,128,18,3/7/2018,4.5
20180110,165,16,3/8/2018,2.5
20180111,625,31,3/9/2018,2.5
20180112,635,2,3/9/2018,3.5
20180113,750,26,3/10/2018,5
20180114,203,7,3/10/2018,1
20180115,202,6,3/11/2018,4
20180116,741,25,3/12/2018,3.5
20180117,620,16,3/12/2018,3
20180118,652,4,3/13/2018,2.5
20180119,742,15,3/13/2018,9.5
20180120,624,7,3/14/2018,1
20180121,650,20,3/15/2018,2.5
20180122,107,19,3/15/2018,6
20180123,652,17,3/16/2018,4
20180124,202,8,3/16/2018,3.5
20180125,652,35,3/17/2018,8.5
20180126,133,34,3/18/2018,8.5
20180127,741,19,3/18/2018,5.5
20180128,652,33,3/19/2018,2
20180129,131,11,3/19/2018,3.5
20180130,783,41,3/20/2018,5
20180131,742,1,3/21/2018,7
20180132,597,13,3/21/2018,1.5
20180133,783,28,3/22/2018,5.5
20180134,742,24,3/22/2018,3
20180135,515,15,3/23/2018,4
20180136,652,17,3/24/2018,7
20180137,620,37,3/24/2018,1.5
20180138,741,2,3/25/2018,4
20180139,652,34,3/25/2018,1.5
20180140,322,30,3/26/2018,5.5
20180141,322,25,3/27/2018,5.5
20180142,136,25,3/27/2018,1.5
20180143,779,18,3/28/2018,1
20180144,624,19,3/28/2018,2.5
20180145,128,29,3/29/2018,3
20180146,646,15,3/30/2018,8
20180147,515,9,3/30/2018,3
20180148,635,27,3/31/2018,5.5
20180149,203,19,3/31/2018,1.5
20180150,163,27,4/1/2018,0.5
20180151,515,29,4/2/2018,8
20180152,128,39,4/2/2018,4.5
20180153,322,26,4/3/2018,2
20180154,742,24,4/3/2018,9
20180155,726,2,4/4/2018,5.5
20180156,783,7,4/5/2018,7.5
20180157,627,30,4/5/2018,2.5
20180158,750,23,4/6/2018,7
20180159,652,34,4/6/2018,3.5
20180160,741,29,4/7/2018,3.5
20180161,203,41,4/8/2018,3.5
20180162,783,2,4/8/2018,4
20180163,203,9,4/9/2018,4
20180164,750,10,4/9/2018,3.5
